id,BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,EState_VSA2,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,PEOE_VSA10,PEOE_VSA14,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9,fr_COO,fr_COO2
11988,118.0,3.060660172,2.536175465,2.536175465,1.640773612,1.640773612,0.54875605,0.182918683,17.72185552,0.0,126.0367794,1.833333333,2.0,3.0,-0.84,116.075,1.47,9.368055556,-1.413194444,4,6.041840829,5.969305288,0.0,0.0,0.0,11.75255023,12.84164325,9.589074368,33.83333333,1,1
13039,378.0184384,10.6858722,7.066209536,7.066209536,6.041833811,6.041833811,4.039539561,2.503410847,12.51406169,0.0,342.1162115,1.416666667,2.0,2.416666667,-0.24,320.121,3.47,11.2380483,-4.594722535,13,18.31189916,7.822697123,0.0,0.0,0.0,23.46809137,24.53980033,13.8256584,44.0,0,0
13637,277.1727756,1.732050808,0.682574186,1.462071797,0.886442781,0.886442781,0.087310213,0.0,24.41586555,12.3563938,90.03169405,1.0,1.4,1.9,-0.9,84.03,3.015404674,9.0,-1.590277778,5,0.0,11.93861058,0.0,0.0,0.0,11.93861058,19.26246487,9.589074368,44.33333333,2,2
5537,377.2032273,11.26536198,9.264696685,9.264696685,6.445092263,6.445092263,4.30848714,2.70699497,42.72389851,13.02770359,316.1674592,1.347826087,2.133333333,2.833333333,-0.44,292.205,13.51894503,11.632714,-1.065436709,11,0.0,102.7370848,45.44866694,0.0,0.0,17.74406608,45.44866694,28.25047014,64.08333333,0,0
8425,315.6953367,5.98541632,3.473677693,3.473677693,2.634453445,2.634453445,1.507704509,0.672860901,0.0,17.91984529,164.0837296,1.272727273,1.818181818,2.090909091,-1.1,156.096,0.894505817,10.92037376,-0.442530707,4,0.0,0.0,12.13273414,17.69618563,6.066367069,0.0,6.103966388,0.0,37.16666667,0,0
379,265.1890535,5.03658126,3.512633622,3.512633622,2.625988407,2.625988407,1.591481913,0.89532672,22.90325261,18.9011502,272.0684735,1.3,2.0,2.733333333,-0.6,260.16,2.923514785,10.76944444,-1.020285809,4,17.10007448,91.53649165,6.9237372,0.0,5.414990469,11.75255023,18.88348408,9.589074368,42.75,0,0
736,253.6028812,9.593172146,6.315601896,7.511318216,4.446582108,5.336399677,3.340728422,2.412288012,0.0,11.21924332,259.1731761,1.095238095,1.80952381,2.619047619,-0.02,232.219,12.74532227,11.09760674,-0.382670697,4,0.0,91.53649165,12.99010427,0.0,0.0,17.74406608,96.49838469,4.794537184,38.7755158,0,0
1493,431.1591217,9.130228955,5.143525339,6.147065708,3.484401049,4.248140504,2.48800647,1.120915327,52.95816849,6.606881965,314.0684262,1.5,2.083333333,2.5,-1.91,294.051,4.257087683,11.08011272,-5.046365557,10,24.41586555,15.64539425,0.0,0.0,0.0,15.64539425,24.41586555,22.97212808,47.51588191,0,0
304,1122.912455,15.68797827,9.989945016,12.62984502,8.20783353,10.40840518,7.647894581,3.382063276,45.13547137,11.98427311,548.0808414,1.056603774,1.735849057,2.414714286,-1.3,522.123,3.646722911,12.15865169,-4.730487804,10,24.41586555,7.822697123,0.0,0.0,0.0,7.822697123,57.33288437,13.8256584,77.31308217,0,0
6341,635.0746548,13.76336877,11.88610237,11.88610237,8.447651504,8.447651504,5.298687347,2.384742846,98.35212179,6.606881965,410.3912516,0.882352941,1.235294118,1.529411765,-0.04,360.33,7.055434857,12.24491507,-1.661604859,15,49.33464668,0.0,0.0,6.066367069,0.0,0.0,98.10393589,9.473725908,95.73586803,0,0
14386,146.2188491,5.574586063,3.56200947,3.56200947,2.719449317,2.719449317,1.86705949,1.081733811,37.31277424,0.0,180.0633881,0.818181818,1.545454546,2.0,-0.24,168.06,1.581758759,10.36860654,-1.568935185,6,24.41586555,0.0,0.0,0.0,0.0,0.0,36.80985867,4.736862954,41.66666667,0,0
3206,1122.912455,16.09866187,9.981875037,12.97276527,7.718719526,10.71568987,7.738920404,3.408510786,82.64301273,0.0,531.0655257,1.051282051,1.692307692,2.282051282,-1.3,500.294,6.724301321,12.1330224,-5.444269153,19,30.64376672,21.33513764,0.0,13.8474744,18.18111669,15.64539425,69.41002225,31.96194817,79.28618051,0,0
4948,233.8861379,7.092224153,4.867790455,4.867790455,3.405628178,4.986563457,1.641257124,1.640773612,15.64539425,6.606881965,251.1018393,1.375,1.875,2.375,-0.86,240.242,22.17347999,10.908703704,-5.066255336,9,0.0,15.64539425,0.0,0.0,0.0,15.64539425,6.255769184,22.91445385,35.16666667,0,0
11239,279.7021006,7.194305874,4.413266198,5.874101497,2.816314032,4.056780309,1.920815796,1.085518514,26.50285076,19.68598479,258.0964195,1.3125,1.8125,2.1875,-1.13,244.161,3.453383332,10.76485572,-4.73157435,8,12.33186756,7.822697123,0.0,0.0,0.0,7.822697123,24.09901032,13.8256584,44.6402155,0,0
8880,1337.358818,17.27961866,14.81811125,18.84207002,11.6764855,12.23704343,9.382942686,4.578921569,70.81509819,53.10971752,837.1570738,1.053846154,1.769230769,2.230769231,-2.59,783.285,16.22299869,12.6791201,-5.563416536,34,0.0,116.3574734,0.0,0.0,0.0,75.11065871,71.31801377,68.27567395,98.66666667,1,1
4553,1755.110653,20.33846072,15.0605295,15.0605295,12.18043781,12.18043781,8.747082097,3.999023606,91.16185391,35.95454174,887.1363383,0.894736842,1.529411765,2.352941177,-1.81,847.328,13.3506213,12.6397418,-5.59237418,30,30.15591996,29.43739666,25.60935935,0.0,30.67817851,75.11065871,63.75370599,55.4920294,99.66666667,1,1
14354,159.4212455,4.53658126,2.804340372,2.804340372,1.949718718,1.949718718,1.018938848,0.421236303,12.01114612,12.84164325,142.0742276,1.571428571,2.0,2.0,-1.1,132.074,1.285879653,10.10008409,-0.790834278,5,6.041840829,5.969305288,0.0,6.420821623,6.420821623,11.87648502,18.88348408,9.589074368,36.5,1,1
7819,1420.467376,24.91094036,16.6011891,22.10797463,12.16857897,17.73098845,11.33634877,4.446631469,84.55497195,39.30984403,851.1727238,1.333333333,1.933333333,2.466666667,-3.22,807.307,9.521913806,12.64438027,-5.584887741,23,36.25988634,23.46809137,13.8474744,0.0,37.09900013,69.14135342,63.6229111,50.69749222,117.6610247,0,0
3467,171.4212455,6.274386908,3.276569624,4.74224163,1.949718718,2.283996915,1.224886628,0.402452692,38.96937942,0.0,194.0579088,1.571428571,2.0,2.571428571,-0.02,184.059,4.070325339,10.50269747,-4.914178634,10,0.0,7.822697123,0.0,0.0,0.0,13.6405599,18.31189916,13.8256584,29.33333333,0,0
5274,201.8713939,6.28546882,3.465607714,3.465607714,2.54733493,2.54733493,1.502930857,0.665696688,36.35447613,0.0,210.0375673,0.714285714,0.928571429,1.071428571,-1.22,200.058,2.923514785,10.08746929,-2.362037037,8,12.20793278,11.93861058,0.0,0.0,0.0,11.93861058,24.41586555,9.589074368,58.66666667,2,2
10171,134.6092086,3.27005561,2.164137591,2.164137591,1.451898132,1.451898132,0.653029673,0.383669081,18.1151125,0.0,131.0694765,1.0,1.571428571,1.857142857,-0.79,122.059,1.479221194,9.855740741,-1.202824074,4,6.041840829,5.969305288,0.0,0.0,0.0,5.969305288,12.84164325,4.794537184,27.5,1,1
1533,531.7686034,9.130228955,5.128741708,6.534394703,4.562570985,5.958012283,3.977358815,2.283856166,46.24737705,13.02770359,339.9960491,1.0,1.9,2.6,-0.44,326.002,3.453383332,10.90929182,-4.914178634,11,0.0,118.5375821,0.0,0.0,0.0,7.822697123,30.70589228,19.12047451,61.37661009,0,0
476,72.58027135,4.680739213,1.551955237,1.551955237,0.456088798,1.015431524,0.490433568,0.0,0.0,5.749511833,89.04767846,1.3,2.0,2.0,-1.06,82.038,1.67,8.417453704,0.171993575,3,0.0,0.0,30.33183534,11.62981856,0.0,6.286160523,6.420821623,4.794537184,14.83333333,0,0
13283,170.9310205,5.53658126,3.600216227,3.600216227,2.427411095,2.427411095,1.324552902,0.668507694,12.01114612,5.959554569,174.1116757,1.666666667,2.25,2.666666667,-1.3,160.092,5.48222978,10.21500031,-1.002013889,6,6.041840829,5.969305288,0.0,6.420821623,6.544756406,11.92885986,18.88348408,12.84164325,37.66666667,1,1
12186,662.4641325,9.055460653,6.14802621,6.14802621,4.058932915,4.058932915,2.811769003,1.267894404,42.39569259,0.0,226.047738,0.944444444,1.555555556,2.111111111,-1.39,216.108,2.198095902,11.81620983,-1.343327664,8,17.10007448,0.0,0.0,45.13608842,6.420821623,6.410095306,37.35404614,4.736862954,53.4730449,0,0
14143,156.6612729,5.092224153,2.916122058,2.916122058,2.075166244,2.075166244,1.447892742,0.690604332,11.93861058,12.84164325,152.0334254,1.545454546,2.272727273,2.818181818,-1.02,144.038,3.848565935,10.50736111,-1.074074074,5,0.0,11.93861058,0.0,6.420821623,6.420821623,11.93861058,18.88348408,9.589074368,39.66666667,2,2
12022,219.0475625,6.123609001,3.431698411,3.431698411,2.586853968,2.586853968,1.720116264,0.898364948,17.72185552,19.26246487,176.032088,1.2,1.7,2.1,-1.58,168.06,5.074576074,10.39100513,-0.448333333,5,0.0,11.93861058,0.0,12.84164325,0.0,17.72185552,19.26246487,14.38361155,42.5,2,2
4105,25.21928095,2.27005561,1.22850154,1.22850154,0.923512859,0.923512859,0.408248291,0.0,0.0,6.420821623,89.04767846,1.727272727,2.363636364,2.727272727,-0.73,82.038,2.183944954,9.035908919,-0.293932387,2,5.749511833,0.0,6.9237372,0.0,6.606881965,0.0,6.420821623,6.420821623,20.16666667,0,0
6734,431.1591217,8.417121318,5.470967223,5.470967223,4.112283769,4.112283769,2.815664805,1.5197705,37.11598759,5.563451492,270.0528234,1.363636364,2.0,2.636363636,-1.81,260.16,1.581518373,10.78890778,-1.114789908,8,18.31189916,0.0,0.0,0.0,0.0,5.969305288,24.41586555,4.736862954,53.66666667,0,0
10118,430.8284896,7.18154055,4.392858618,4.392858618,3.432844816,3.432844816,2.579511904,1.078092629,0.0,11.49902367,230.0191539,1.181818182,1.818181818,2.545454546,-1.08,219.021,1.335986288,10.52768519,-1.002013889,5,12.20793278,0.0,18.19910121,12.13273414,17.0997685,0.0,0.0,0.0,42.83333333,0,0
5407,271.2118756,5.91279002,3.474383346,6.173436912,2.481028635,3.481028635,1.664651573,0.770482128,0.0,0.0,342.1162115,1.416666667,2.083333333,2.416666667,-0.37,320.121,4.452658053,10.51889361,0.291342593,7,0.0,91.53649165,0.0,0.0,0.0,17.74406608,37.62962948,4.794537184,34.41586555,0,0
10359,292.4920898,5.125897658,2.841578364,2.841578364,1.604624513,1.604624513,0.722157875,0.304056349,17.46832895,11.31296333,133.0375077,1.333333333,1.916666667,2.416666667,-1.68,126.116,1.335791643,10.18237245,-1.184929138,5,5.749511833,0.0,0.0,12.13273414,6.544756406,10.96924436,0.0,0.0,34.58333333,0,0
